C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60061,Customer#000060061,vYxaVWbpszoT8qQBdaizgWRSQGe,14,24-289-526-7060,5349.63,BUILDING,onic foxes nag blithely slyly express foxes. blithely fina
60064,Customer#000060064,mAUZ1TMU3IZZlVrL1azR dfua8WLHay4QzMOrR5,9,19-918-643-8328,8026.04,AUTOMOBILE,pecial accounts among the fluffily even packages n
60182,Customer#000060182,ZztvVvzgcssolfn9a1TWJQbTObF7IC U,22,32-726-190-5874,8555.45,MACHINERY,uests. pending accounts sleep furiously final accounts. furiously unusual pinto beans wake furiously sly deposi
60202,Customer#000060202,"wz WmgkAXQQtBGT,Rw22",23,33-865-942-1693,223.03,MACHINERY,"he express, unusual packages. slyly final pinto beans haggle quickly about the slyly silent ideas. carefully "
60253,Customer#000060253,dx30f6Q0snsCQtYT 7GBTR,8,18-838-139-9630,4185.63,AUTOMOBILE,"t the ironic, special packages. foxes haggle blithely final instruc"
60001,Customer#000060001,9Ii4zQn9cX,14,24-678-784-9652,9957.56,HOUSEHOLD,l theodolites boost slyly at the platelets: permanently ironic packages wake slyly pend
60022,Customer#000060022,"I2XoZQLC,63R3zIG z6i3VMCS",0,10-513-498-1045,-759.74,FURNITURE, across the blithely ironic sentiments. thinly pending requests sleep quickly alongsid
60029,Customer#000060029,"5xZC76MsijD,s0i137ZP, DHyiw7kSS1HZ35kos3",14,24-983-762-4152,9281.15,FURNITURE,"longside of the ironic, regular foxes. carefully special ideas across the q"
60077,Customer#000060077,20l7qcXSrVV,4,14-206-902-5158,9000.61,BUILDING, boost quickly among the slyly regular platelets. blithely pending requests b
60148,Customer#000060148,"rI6ES1U,wbE6iF630aT9O gaVOYH6ssina YY",18,28-337-983-9279,9169.05,MACHINERY," finally after the carefully regular deposits. ideas haggle quickly after the dogged, regular soma"
60184,Customer#000060184,lKgsLAgVKd,21,31-192-184-3308,685.76,HOUSEHOLD,the platelets. carefully unusual platelets
60188,Customer#000060188,"TdgWybJDvRdSPZIZhcHdh6,cgkT4e2",23,33-590-191-7182,2972.51,FURNITURE,"nding, unusual asymptotes. even packages are carefully around the regular, express ins"
60155,Customer#000060155,ZbKBDOmKMk7,18,28-368-636-2788,3478.9,FURNITURE,le slyly. quickly ironic packages above
60169,Customer#000060169,qT0lLpgqqul,18,28-369-821-3771,4242.37,HOUSEHOLD, silent frays sleep carefully among the carefully final dolphins. final foxes wake carefully acr
